source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5538491277454440448 117.85734568466052 -38.6869310245074 -2.922043727869246 0.9134150325268028  20.04236 218.51947 21.23124 9.229803 18.915358 33.614674 0.6774112824951557 0.40191057  1.0210588                   0.0056814427714414 0.1176668199574829 0.0325198340975375 117.85734568466052 -38.6869310245074 0.2115634087101352 5538491277454440448 1476.2080671532822 2488.1157  0.2610235208505984 7.13645366715716 0.00038139988044175844 7.136835067037602 0.11629855771190097
5538733651047487104 116.95767247702942 -38.37416962348633 -2.3603779561609284 0.9664216252313385  20.346943 180.01222 21.194477 4.56797 19.49132 17.782343 0.6375937974247768 0.59055376  1.0243474                   0.0066310088318658 0.2377010047969479 0.0611738414036325 116.95767247702942 -38.37416962348633 0.8664564193766893 5538733651047487104 1568.3966877328032 1693.326  3.6689499254785107 0.12366962637571893 0.05076579727662778 0.1744354236523467 0.4276160595315376
5538463102468115712 117.35230338302884 -39.05771051611207 -2.4832273025570037 1.678782500033056  20.470587 169.32571 21.253122 8.334535 19.924158 14.0630245 0.7363110546493412 0.54689944  0.9833177                   0.0069790420095436 0.1302994423568396 0.0772974780097408 117.35230338302884 -39.05771051611207 0.7518541104770603 5538463102468115712 1358.121671113898 1828.4896  1.6594807183402043 0.09582188812344461 12.360641394050408 12.456463282173852 0.00693405785372121
5538493613923262976 117.99332266315164 -38.5956202760127 -2.216754902198222 1.0220480787569413  20.319994 164.6345     0.6421976902391708 0.55851567  1.0028707                   0.0071472751462073   117.99332266315164 -38.5956202760127 0.0733258912768221 5538493613923262976 1557.1529066502471 1790.4601  3.042041652646823 1.264941763235649 0.2325710050883931 1.4975127683240421 0.3378830804239371
5538549173611332352 117.3978068301174 -38.5987994054889 -2.187092075950816 1.5863639650651638  19.9966 274.722 21.09977 11.581469 18.943829 39.896618 0.6357209362121392 0.3821941  1.0858029                   0.0048177897543701 0.0937892261170164 0.0274749230572529 117.3978068301174 -38.5987994054889 0.5101229908950187 5538549173611332352 1573.0172518123602 2616.4717  3.943589193099225 1.6495599973104837 9.541185948476805 11.190745945787288 0.004430555105566299
5538866485798923264 118.1431116326368 -38.53157478952993 -2.6619596639748893 0.974127253139425 3.3466673 14.017358 3482.9148 14.330286 593.31647 13.484832 626.5236 0.7246296263842724 0.015225197 7452.4604 1.168149                   0.0027728985343728 0.0033367267634466 0.0041577462753319 118.1431116326368 -38.53157478952993 0.0767827908077667 5538866485798923264 1380.0153396843011 65680.59 2.134508530702707 0.9113488494585933 1.6168419948516064 0.06807175330693148 1.684913748158538 0.316053736734261
5538882256920699136 117.94609162051933 -38.470057377826514 -2.505901012040124 0.5670202115173297  19.445997 390.5025 20.594238 20.841177 18.425009 64.87617 0.7541032764977909 0.22355899  1.0567158                   0.0039143546279482 0.0521703892148926 0.0171569594666772 117.94609162051933 -38.470057377826514 0.1006973488028913 5538882256920699136 1326.078312037316 4473.0923  3.155621873484861 0.18626899637977232 2.622967130112528 2.8092361264923 0.20178811548362624
5538871330521857664 118.1474632428056 -38.45350346554686 -2.4237002767979274 0.8559734812984624  20.241762 192.88568 20.507967 3.2356808 19.542038 22.150269 0.7097356424042713 0.44164076  0.92707336                   0.0062670903138308 0.3355626837634748 0.0491623279099774 118.1474632428056 -38.45350346554686 0.1139285789876109 5538871330521857664 1408.9753145444984 2264.2837  0.2636045665517309 0.00011759468954400616 0.08114354117945156 0.08126113586899557 0.986736839971267
5538489559474244352 118.08834770413183 -38.6555956347355 -2.350294133098048 1.0717957249667365  15.533988 2626.6787 15.9597645 164.07352 14.758722 66.29008 0.6161354799505752 0.02502975 5973.2773 0.93485785                   0.0027861527549087 0.007181554007365 0.0168089574987709 118.08834770413183 -38.6555956347355 0.1257942326204958 5538489559474244352 1623.019664571528 39952.457  7.549647708965125 0.16478856503354475 0.5070079786261786 0.6717965436597234 0.0837950438556399
5537735363217518592 118.07841954567732 -38.83870679308291 -2.614923900974982 0.9038085010521322  15.860701 1644.0972 16.220896 100.965324 14.964122 87.81022 0.7075505745944732 0.03195281 5671.169 1.0130571                   0.0028333543772225 0.011109635519389 0.0129292880381942 118.07841954567732 -38.83870679308291 0.3053770812880244 5537735363217518592 1413.3265322738823 31296.154  0.19992621461383164 1.0371143967374685 0.004083577834287525 1.0411979745717561 0.871282483723284
5538507082942758144 117.8835664073724 -38.48882133296515 -1.9994846828215609 0.8529514277746008  19.929815 246.76068 20.76978 8.455956 18.670671 27.688078 0.7412524677624874 0.33234155  1.0442823                   0.0051914742154905 0.1284292946955529 0.0393948385828195 117.8835664073724 -38.48882133296515 0.1343227705788512 5538507082942758144 1349.0680213430608 3008.9526  2.0338918568847273 5.262988427479985 0.08929111286276097 5.352279540342746 0.1168346722687843
