source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5343981176513747840 178.03290928646442 -55.32256741292613 -6.7482021583968805 1.666074003194011  19.716286 333.03204 20.42606 23.250486 18.99394 45.984375 0.3550042041510136 0.28917164  1.0109178                   0.0042685363345182 0.0467806366669639 0.0239115484843168 178.03290928646442 -55.32256741292613 0.4150626757260952 5343981176513747840 2816.8680491868613 3458.1538  2.2074614426138464 4.778181653209452 4.590138249733735 9.368319902943187 0.02080107873227437
5343856931712876032 177.37687302986717 -55.94631106641794 -6.63465588938612 2.0844308541087613  19.267729 452.21643 19.970276 32.174873 18.503504 68.20287 0.4876594888068867 0.23025343  1.0707765                   0.0036546154413496 0.0338600029938204 0.0163616971622694 177.37687302986717 -55.94631106641794 0.3104374560502921 5343856931712876032 2050.611180450136 4343.0405  1.1254319415437053 1.1644130297888806 4.8737802225366895 6.03819325232557 0.12748992800038475
5343789552261990784 178.2223654659327 -55.534323265794434 -6.265383336861084 1.9227138144292095  20.074184 234.63974 20.764812 11.815564 19.326082 28.617931 0.3400683492405674 0.39128423  0.99717027                   0.0053854629308768 0.0919326905434165 0.038126798858135 178.2223654659327 -55.534323265794434 0.3531084887503458 5343789552261990784 2940.585333016661 2555.687  3.598309506308977 6.352983959328963 0.2767925511969729 6.629776510525936 0.03675596511069286
5343867789376678528 177.34637988639403 -55.66081760951197 -6.772458794772372 1.872288466054666  20.379873 197.77635 21.26706 9.982437 19.313307 27.400274 0.4985829013923368 0.5646951  1.0845649                   0.0061423759517058 0.1088004249843339 0.039804840474177 177.34637988639403 -55.66081760951197 0.1720671447814162 5343867789376678528 2005.6845054401413 1770.8672  1.464524356674445 5.867798378541761 3.1753513949289218e-06 5.867801553893156 0.11933437427462608
5343863769286982784 177.1186304639196 -55.73160464902563 -6.803058452511416 2.0260881791839243  20.501059 159.63008 21.191156 10.253986 19.716078 19.669514 0.4746225237303604 0.81271917  0.98546106                   0.0073384761322307 0.1059210592776775 0.0553281676166921 177.1186304639196 -55.73160464902563 0.3045435768503796 5343863769286982784 2106.937513500968 1230.4374  0.7632922884116187 7.401844015653981 2.5632324921959544 9.965076507849936 0.029792508404992764
5343972513571805696 177.54800819969137 -55.30128410237828 -6.672834817007435 2.236183968129092  20.105886 244.9798 20.864058 15.606147 19.339157 30.249886 0.4373228365738677 0.43630472  0.9756906                   0.0052186106912946 0.0696269896826252 0.0360906739077556 177.54800819969137 -55.30128410237828 0.3796852160897778 5343972513571805696 2286.640249190579 2291.976  0.07641514873138287 2.1060975158967916 14.330851206607369 16.43694872250416 0.0024022817275587164
5343960835541266432 177.52529839067088 -55.6645922929713 -6.442134288354648 2.0192466353530736  17.45253 1162.1672 17.957806 88.52305 16.747812 121.76148 0.4321905235606787 0.07027508 5158.285 0.99001014                   0.0029093955843046 0.012578376492985 0.0096847826290028 177.52529839067088 -55.6645922929713 0.0714432783012951 5343960835541266432 2313.794369578772 14229.795  0.03466579722973606 0.6361354108391352 2.3405041779776146 2.9766395888167496 0.5559352566820941
5343787490678260736 178.4706701929314 -55.51552216037601 -6.465561457431535 1.8883294453852215  19.997509 278.0856 20.659142 12.826401 19.35727 22.67409 0.8247996308581443 0.39910507  1.0151824                   0.0047786538827068 0.0846945204142188 0.0480333620432383 178.4706701929314 -55.51552216037601 0.4907448262121763 5343787490678260736 1212.4156735613135 2505.6057  14.796061136683091 0.32400888438436404 0.028418535563065048 0.3524274199474291 0.004402945985440397
5343861497243342976 177.1408770404734 -55.81322026607332 -6.579321844333876 2.095500069817509  19.356445 420.65863 20.23118 25.71218 18.585482 54.41703 0.5285782417882442 0.24534664  0.9962723                   0.0037753874210308 0.0423186154063157 0.0203069351521314 177.1408770404734 -55.81322026607332 0.3176063779526121 5343861497243342976 1891.8675059663424 4075.866  2.5231431523995274 0.29127059023987867 5.395227991794383 5.686498582034261 0.08419367276304622
5343843217866344704 177.60860885216195 -56.07758102949113 -6.622144892955442 1.9300536941213056  18.9501 526.8918 19.743845 31.035051 18.138145 90.87079 0.515292694925479 0.18402699 3918.1216 1.0494429                   0.0034406455227707 0.0350952811713184 0.0125316236946433 177.60860885216195 -56.07758102949113 0.4017302566067659 5343843217866344704 1940.6446275055744 5433.986  2.034423375571516 0.9160884810855177 0.362923987828934 1.2790124689144515 0.5068062871112533
5343947057287111424 177.9288334633532 -55.66233010065421 -6.419384980361571 1.9230743448118912  19.021204 557.57477 19.741983 34.51652 18.201033 75.64583 0.4071249357115191 0.17730394  0.98907804                   0.0033739536377691 0.0315790554689617 0.0148421413648822 177.9288334633532 -55.66233010065421 0.1577793351264838 5343947057287111424 2456.2484689185944 5640.0327  0.08251347103488647 1.0390469340631154 0.2807512133599404 1.3197981474230558 0.8437931465896027
5343845416889816192 177.61495227660265 -55.97739559663704 -6.188308670080658 1.911216656662254  18.840042 640.3847 19.455145 46.45553 18.12597 66.7207 0.3632693540796851 0.1632664 4503.292 0.9790239                   0.0032351690374535 0.0235374784553764 0.0167059712915091 177.61495227660265 -55.97739559663704 0.3015174653918446 5343845416889816192 2752.778313858659 6124.9585  1.6199021653007613 10.704809548216378 0.16529262044218251 10.87010216865856 0.014056219781197947
5343987631846507392 177.96479501751003 -55.22317569601775 -6.738331545982828 1.619051910015288  19.859411 288.91486 20.36465 27.657242 19.227173 25.429806 0.5755387577863734 0.3229738  0.995652                   0.0046598499866257 0.0393558807835593 0.0428623670210499 177.96479501751003 -55.22317569601775 0.487195687235642 5343987631846507392 1737.5024470049273 3096.2266  4.416155456464646 4.366798193641078 6.924277347507875 11.291075541148953 0.0034382605406422444
5343763194040456064 178.17368470376204 -55.72856082433446 -6.569825019230257 2.1160140811005737  20.080383 172.27516 19.782175 19.308855 17.84687 42.605083 0.6237618247954073 0.4625884  1.0072491                   0.0068783171507247 0.056299145497863 0.025762452051491 178.17368470376204 -55.72856082433446 0.2995304357715558 5343763194040456064 1603.1760204754405 2161.749  6.491755026323198 0.1999179226320593 6.431651858978176 6.631569781610235 0.010688666085626724
